refresh_id,account_id,refresh_date,refresh_quarter,trigger_event_code,updated_fico_score,score_change_vs_prior,updated_utilization_pct,new_derogatory_flag,new_inquiry_count,collections_flag,bankruptcy_flag
BUR00000143,ACC0000019,2023-04-01,2023-Q2,collections_trigger,654,0,0.715,0,1,0,0
BUR00000144,ACC0000019,2023-07-01,2023-Q3,annual_review,654,0,0.6931,0,2,0,0
BUR00000145,ACC0000019,2023-10-01,2023-Q4,collections_trigger,654,0,0.3794,0,2,0,0
BUR00000146,ACC0000019,2024-01-01,2024-Q1,quarterly_refresh,654,0,0.1194,0,2,0,0
BUR00000147,ACC0000019,2024-04-01,2024-Q2,behavioral_trigger,654,0,0.0611,0,2,0,0
BUR00000148,ACC0000019,2024-07-01,2024-Q3,annual_review,654,0,0.2538,0,3,0,0
BUR00000149,ACC0000019,2024-10-01,2024-Q4,collections_trigger,654,0,0.6479,0,1,0,0
BUR00000150,ACC0000020,2021-04-01,2021-Q2,collections_trigger,814,4,0.9218,0,3,0,0
BUR00000151,ACC0000020,2021-07-01,2021-Q3,annual_review,818,4,0.3113,0,3,0,0
BUR00000152,ACC0000020,2021-10-01,2021-Q4,quarterly_refresh,821,3,0.4324,0,0,0,0
BUR00000153,ACC0000020,2022-01-01,2022-Q1,behavioral_trigger,821,0,0.6373,0,1,0,0
BUR00000154,ACC0000020,2022-04-01,2022-Q2,collections_trigger,824,3,0.8475,0,1,0,0
BUR00000155,ACC0000020,2022-07-01,2022-Q3,behavioral_trigger,825,1,0.3899,0,1,0,0
BUR00000156,ACC0000020,2022-10-01,2022-Q4,annual_review,826,1,0.5791,0,3,0,0
BUR00000157,ACC0000020,2023-01-01,2023-Q1,quarterly_refresh,829,3,0.6564,0,1,0,0
BUR00000158,ACC0000020,2023-04-01,2023-Q2,behavioral_trigger,831,2,0.1454,0,2,0,0
BUR00000159,ACC0000020,2023-07-01,2023-Q3,quarterly_refresh,831,0,0.8724,0,1,0,0
BUR00000160,ACC0000020,2023-10-01,2023-Q4,cli_review,834,3,0.4225,0,0,0,0
BUR00000161,ACC0000020,2024-01-01,2024-Q1,behavioral_trigger,838,4,0.5317,0,1,0,0
BUR00000162,ACC0000020,2024-04-01,2024-Q2,collections_trigger,840,2,0.329,0,3,0,0
BUR00000163,ACC0000020,2024-07-01,2024-Q3,annual_review,840,0,0.8007,0,3,0,0
BUR00000164,ACC0000020,2024-10-01,2024-Q4,collections_trigger,841,1,0.7421,0,1,0,0
BUR00000165,ACC0000021,2024-10-01,2024-Q4,annual_review,702,0,0.8454,0,3,0,0
BUR00000166,ACC0000022,2024-07-01,2024-Q3,quarterly_refresh,748,0,0.5649,0,3,0,0
BUR00000167,ACC0000022,2024-10-01,2024-Q4,behavioral_trigger,748,0,0.179,0,3,0,0
BUR00000168,ACC0000023,2024-01-01,2024-Q1,annual_review,786,0,0.2353,0,0,0,0
BUR00000169,ACC0000023,2024-04-01,2024-Q2,cli_review,789,3,0.3215,0,3,0,0
BUR00000170,ACC0000023,2024-07-01,2024-Q3,behavioral_trigger,792,3,0.6117,0,3,0,0
BUR00000171,ACC0000023,2024-10-01,2024-Q4,collections_trigger,792,0,0.6966,0,3,0,0
BUR00000172,ACC0000024,2022-04-01,2022-Q2,collections_trigger,798,0,0.3027,0,2,0,0
BUR00000173,ACC0000024,2022-07-01,2022-Q3,collections_trigger,802,4,0.2268,0,2,0,0
BUR00000174,ACC0000024,2022-10-01,2022-Q4,behavioral_trigger,803,1,0.9672,0,2,0,0
BUR00000175,ACC0000024,2023-01-01,2023-Q1,behavioral_trigger,807,4,0.8149,0,3,0,0
BUR00000176,ACC0000025,2023-10-01,2023-Q4,behavioral_trigger,741,0,0.2535,0,0,0,0
BUR00000177,ACC0000025,2024-01-01,2024-Q1,quarterly_refresh,741,0,0.2374,0,0,0,0
BUR00000178,ACC0000025,2024-04-01,2024-Q2,quarterly_refresh,741,0,0.8311,0,0,0,0
BUR00000179,ACC0000025,2024-07-01,2024-Q3,behavioral_trigger,741,0,0.1816,0,1,0,0
BUR00000180,ACC0000025,2024-10-01,2024-Q4,cli_review,741,0,0.0887,0,2,0,0
BUR00000181,ACC0000026,2021-10-01,2021-Q4,annual_review,802,0,0.1268,0,2,0,0
BUR00000182,ACC0000026,2022-01-01,2022-Q1,quarterly_refresh,806,4,0.2826,0,0,0,0
BUR00000183,ACC0000026,2022-04-01,2022-Q2,collections_trigger,808,2,0.682,0,3,0,0
BUR00000184,ACC0000026,2022-07-01,2022-Q3,behavioral_trigger,809,1,0.3485,0,2,0,0
BUR00000185,ACC0000026,2022-10-01,2022-Q4,behavioral_trigger,813,4,0.7237,0,2,0,0
BUR00000186,ACC0000026,2023-01-01,2023-Q1,quarterly_refresh,813,0,0.7247,0,1,0,0
BUR00000187,ACC0000026,2023-04-01,2023-Q2,quarterly_refresh,815,2,0.9963,0,3,0,0
BUR00000188,ACC0000026,2023-07-01,2023-Q3,cli_review,815,0,0.5348,0,3,0,0
BUR00000189,ACC0000026,2023-10-01,2023-Q4,collections_trigger,817,2,0.2815,0,0,0,0
BUR00000190,ACC0000026,2024-01-01,2024-Q1,annual_review,820,3,0.3513,0,0,0,0
BUR00000191,ACC0000026,2024-04-01,2024-Q2,collections_trigger,824,4,0.7111,0,1,0,0
BUR00000192,ACC0000026,2024-07-01,2024-Q3,annual_review,828,4,0.6926,0,2,0,0
BUR00000193,ACC0000026,2024-10-01,2024-Q4,collections_trigger,828,0,0.1055,0,3,0,0
BUR00000194,ACC0000027,2022-01-01,2022-Q1,collections_trigger,629,0,0.0622,0,2,0,0
BUR00000195,ACC0000027,2022-04-01,2022-Q2,collections_trigger,629,0,0.5143,0,2,0,0
BUR00000196,ACC0000027,2022-07-01,2022-Q3,collections_trigger,629,0,0.4603,0,2,0,0
BUR00000197,ACC0000027,2022-10-01,2022-Q4,annual_review,629,0,0.185,0,3,0,0
BUR00000198,ACC0000027,2023-01-01,2023-Q1,cli_review,629,0,0.5376,0,0,0,0
BUR00000199,ACC0000027,2023-04-01,2023-Q2,behavioral_trigger,629,0,0.429,0,3,0,0
BUR00000200,ACC0000027,2023-07-01,2023-Q3,cli_review,629,0,0.5429,0,0,0,0
BUR00000201,ACC0000027,2023-10-01,2023-Q4,collections_trigger,629,0,0.3468,0,0,0,0
BUR00000202,ACC0000027,2024-01-01,2024-Q1,cli_review,629,0,0.0852,0,3,0,0
BUR00000203,ACC0000027,2024-04-01,2024-Q2,behavioral_trigger,629,0,0.5519,0,2,0,0
BUR00000204,ACC0000027,2024-07-01,2024-Q3,behavioral_trigger,629,0,0.8582,0,2,0,0
BUR00000205,ACC0000027,2024-10-01,2024-Q4,collections_trigger,629,0,0.0525,0,2,0,0
BUR00000206,ACC0000028,2021-07-01,2021-Q3,annual_review,704,0,0.9099,0,0,0,0
BUR00000207,ACC0000028,2021-10-01,2021-Q4,quarterly_refresh,704,0,0.7886,0,1,0,0
BUR00000208,ACC0000028,2022-01-01,2022-Q1,quarterly_refresh,704,0,0.3293,0,2,0,0
BUR00000209,ACC0000028,2022-04-01,2022-Q2,behavioral_trigger,704,0,1.006,0,3,0,0
BUR00000210,ACC0000028,2022-07-01,2022-Q3,quarterly_refresh,704,0,0.1409,0,2,0,0
BUR00000211,ACC0000028,2022-10-01,2022-Q4,cli_review,704,0,0.6112,0,2,0,0
BUR00000212,ACC0000028,2023-01-01,2023-Q1,cli_review,704,0,0.3522,0,1,0,0
BUR00000213,ACC0000028,2023-04-01,2023-Q2,behavioral_trigger,704,0,0.7497,0,1,0,0
BUR00000214,ACC0000028,2023-07-01,2023-Q3,annual_review,704,0,0.3585,0,2,0,0
BUR00000215,ACC0000028,2023-10-01,2023-Q4,quarterly_refresh,704,0,0.8446,0,0,0,0
BUR00000216,ACC0000028,2024-01-01,2024-Q1,collections_trigger,704,0,0.6977,0,1,0,0
BUR00000217,ACC0000028,2024-04-01,2024-Q2,collections_trigger,704,0,1.0408,0,1,0,0
BUR00000218,ACC0000028,2024-07-01,2024-Q3,cli_review,704,0,0.9764,0,0,0,0
BUR00000219,ACC0000028,2024-10-01,2024-Q4,quarterly_refresh,704,0,0.5825,0,3,0,0
BUR00000220,ACC0000029,2023-01-01,2023-Q1,annual_review,794,1,0.1879,0,0,0,0
BUR00000221,ACC0000029,2023-04-01,2023-Q2,quarterly_refresh,797,3,0.7668,0,3,0,0
BUR00000222,ACC0000029,2023-07-01,2023-Q3,cli_review,797,0,0.4597,0,2,0,0
BUR00000223,ACC0000029,2023-10-01,2023-Q4,behavioral_trigger,799,2,0.6155,0,1,0,0
BUR00000224,ACC0000029,2024-01-01,2024-Q1,behavioral_trigger,802,3,0.4709,0,0,0,0
BUR00000225,ACC0000029,2024-04-01,2024-Q2,collections_trigger,806,4,0.6562,0,2,0,0
BUR00000226,ACC0000029,2024-07-01,2024-Q3,quarterly_refresh,807,1,0.6492,0,1,0,0
BUR00000227,ACC0000029,2024-10-01,2024-Q4,quarterly_refresh,808,1,0.2359,0,0,0,0
BUR00000228,ACC0000030,2024-01-01,2024-Q1,behavioral_trigger,824,1,0.3897,0,0,0,0
BUR00000229,ACC0000030,2024-04-01,2024-Q2,collections_trigger,826,2,0.423,0,1,0,0
BUR00000230,ACC0000030,2024-07-01,2024-Q3,behavioral_trigger,829,3,0.484,0,1,0,0
BUR00000231,ACC0000030,2024-10-01,2024-Q4,collections_trigger,830,1,0.7932,0,1,0,0
BUR00000232,ACC0000031,2021-07-01,2021-Q3,cli_review,830,3,0.3655,0,0,0,0
BUR00000233,ACC0000031,2021-10-01,2021-Q4,quarterly_refresh,831,1,0.0777,0,0,0,0
BUR00000234,ACC0000031,2022-01-01,2022-Q1,quarterly_refresh,833,2,0.8343,0,2,0,0
BUR00000235,ACC0000031,2022-04-01,2022-Q2,cli_review,837,4,0.4112,0,1,0,0
BUR00000236,ACC0000031,2022-07-01,2022-Q3,behavioral_trigger,838,1,0.1799,0,0,0,0
BUR00000237,ACC0000031,2022-10-01,2022-Q4,annual_review,841,3,0.5631,0,3,0,0
BUR00000238,ACC0000031,2023-01-01,2023-Q1,cli_review,845,4,0.8396,0,2,0,0
BUR00000239,ACC0000031,2023-04-01,2023-Q2,collections_trigger,845,0,0.2134,0,2,0,0
BUR00000240,ACC0000031,2023-07-01,2023-Q3,behavioral_trigger,847,2,0.7199,0,2,0,0
BUR00000241,ACC0000031,2023-10-01,2023-Q4,quarterly_refresh,848,1,0.603,0,1,0,0
BUR00000242,ACC0000031,2024-01-01,2024-Q1,collections_trigger,850,4,0.3497,0,1,0,0
BUR00000243,ACC0000031,2024-04-01,2024-Q2,behavioral_trigger,850,3,0.2734,0,2,0,0
BUR00000244,ACC0000031,2024-07-01,2024-Q3,quarterly_refresh,850,2,0.4146,0,1,0,0
BUR00000245,ACC0000031,2024-10-01,2024-Q4,collections_trigger,850,4,0.8131,0,2,0,0
BUR00000246,ACC0000032,2022-01-01,2022-Q1,annual_review,687,0,0.6872,0,2,0,0
BUR00000247,ACC0000032,2022-04-01,2022-Q2,annual_review,687,0,0.3585,0,2,0,0
BUR00000248,ACC0000032,2022-07-01,2022-Q3,quarterly_refresh,687,0,0.6592,0,1,0,0
BUR00000249,ACC0000032,2022-10-01,2022-Q4,behavioral_trigger,687,0,0.5325,0,0,0,0
BUR00000250,ACC0000032,2023-01-01,2023-Q1,collections_trigger,687,0,0.7637,0,2,0,0
BUR00000251,ACC0000032,2023-04-01,2023-Q2,annual_review,687,0,0.9801,0,0,0,0
BUR00000252,ACC0000032,2023-07-01,2023-Q3,quarterly_refresh,687,0,0.4855,0,3,0,0
BUR00000253,ACC0000032,2023-10-01,2023-Q4,collections_trigger,687,0,0.5393,0,2,0,0
BUR00000254,ACC0000032,2024-01-01,2024-Q1,quarterly_refresh,687,0,0.8069,0,3,0,0
BUR00000255,ACC0000032,2024-04-01,2024-Q2,behavioral_trigger,687,0,0.185,0,2,0,0
BUR00000256,ACC0000032,2024-07-01,2024-Q3,annual_review,687,0,1.0032,0,0,0,0
BUR00000257,ACC0000032,2024-10-01,2024-Q4,quarterly_refresh,687,0,0.5415,0,2,0,0
BUR00000258,ACC0000033,2022-10-01,2022-Q4,behavioral_trigger,723,0,0.7814,0,3,0,0
BUR00000259,ACC0000033,2023-01-01,2023-Q1,behavioral_trigger,723,0,0.8795,0,1,0,0
BUR00000260,ACC0000033,2023-04-01,2023-Q2,quarterly_refresh,723,0,0.4994,0,1,0,0
BUR00000261,ACC0000033,2023-07-01,2023-Q3,behavioral_trigger,723,0,0.3537,0,3,0,0
BUR00000262,ACC0000033,2023-10-01,2023-Q4,behavioral_trigger,723,0,0.9022,0,2,0,0
BUR00000263,ACC0000033,2024-01-01,2024-Q1,quarterly_refresh,723,0,1.1046,0,3,0,0
BUR00000264,ACC0000033,2024-04-01,2024-Q2,annual_review,723,0,0.8878,0,0,0,0
