interaction_id,account_id,interaction_date,interaction_month,channel,interaction_type,hardship_flag,payment_plan_enrolled,dispute_filed,resolved_flag,duration_minutes,months_on_book,digital_login_last_30d
SVC000000049,ACC0000008,2024-11-13,2024-11,phone,dispute_filed,0,0,1,1,35,38,0
SVC000000050,ACC0000009,2024-05-14,2024-05,app,rate_inquiry,0,0,0,0,1,10,13
SVC000000051,ACC0000009,2024-05-04,2024-05,phone,dispute_filed,0,0,1,1,44,10,13
SVC000000052,ACC0000009,2024-05-07,2024-05,ivr,credit_limit_request,0,0,0,0,1,10,13
SVC000000053,ACC0000009,2024-11-05,2024-11,chat,rate_inquiry,0,0,0,1,7,16,5
SVC000000054,ACC0000009,2024-11-25,2024-11,app,fraud_report,0,0,0,1,5,16,5
SVC000000055,ACC0000009,2024-12-18,2024-12,phone,balance_inquiry,0,0,0,1,6,17,11
SVC000000056,ACC0000009,2024-12-23,2024-12,phone,balance_inquiry,0,0,0,0,16,17,11
SVC000000057,ACC0000009,2024-12-16,2024-12,chat,rate_inquiry,0,0,0,0,6,17,11
SVC000000058,ACC0000011,2022-06-09,2022-06,branch,balance_inquiry,0,0,0,1,7,12,11
SVC000000059,ACC0000011,2022-06-24,2022-06,phone,hardship_request,1,0,0,1,40,12,11
SVC000000060,ACC0000011,2022-07-26,2022-07,chat,payment_inquiry,0,0,0,1,2,13,14
SVC000000061,ACC0000011,2022-09-20,2022-09,branch,payment_inquiry,0,0,0,1,8,15,5
SVC000000062,ACC0000011,2022-09-06,2022-09,app,dispute_filed,0,0,1,1,1,15,5
SVC000000063,ACC0000011,2022-11-14,2022-11,app,payment_inquiry,0,0,0,1,1,17,18
SVC000000064,ACC0000011,2022-11-13,2022-11,chat,balance_inquiry,0,0,0,0,1,17,18
SVC000000065,ACC0000011,2023-06-04,2023-06,phone,credit_limit_request,0,0,0,1,14,24,8
SVC000000066,ACC0000011,2023-06-23,2023-06,app,credit_limit_request,0,0,0,1,1,24,8
SVC000000067,ACC0000011,2023-06-03,2023-06,app,dispute_filed,0,0,1,0,2,24,8
SVC000000068,ACC0000011,2023-08-21,2023-08,phone,balance_inquiry,0,0,0,1,29,26,15
SVC000000069,ACC0000011,2023-12-28,2023-12,chat,payment_inquiry,0,0,0,1,8,30,19
SVC000000070,ACC0000011,2023-12-12,2023-12,branch,dispute_filed,0,0,1,1,9,30,19
SVC000000071,ACC0000011,2023-12-26,2023-12,app,hardship_request,1,0,0,1,8,30,19
SVC000000072,ACC0000011,2024-01-20,2024-01,chat,rate_inquiry,0,0,0,1,7,31,17
SVC000000073,ACC0000011,2024-01-20,2024-01,branch,rate_inquiry,0,0,0,0,2,31,17
SVC000000074,ACC0000011,2024-01-25,2024-01,chat,dispute_filed,0,0,1,0,7,31,17
SVC000000075,ACC0000013,2022-04-20,2022-04,phone,hardship_request,1,0,0,1,41,1,17
SVC000000076,ACC0000013,2022-04-25,2022-04,chat,payment_inquiry,0,0,0,1,6,1,17
SVC000000077,ACC0000013,2022-04-25,2022-04,phone,balance_inquiry,0,0,0,1,20,1,17
SVC000000078,ACC0000013,2022-08-28,2022-08,branch,payment_inquiry,0,0,0,1,1,5,10
SVC000000079,ACC0000013,2022-12-14,2022-12,app,hardship_request,1,0,0,0,4,9,7
SVC000000080,ACC0000013,2022-12-09,2022-12,chat,credit_limit_request,0,0,0,1,1,9,7
SVC000000081,ACC0000013,2022-12-25,2022-12,phone,payment_inquiry,0,0,0,1,26,9,7
SVC000000082,ACC0000013,2023-08-27,2023-08,phone,general_inquiry,0,0,0,0,25,17,12
SVC000000083,ACC0000013,2023-08-10,2023-08,chat,balance_inquiry,0,0,0,1,2,17,12
SVC000000084,ACC0000013,2023-08-18,2023-08,app,balance_inquiry,0,0,0,1,6,17,12
SVC000000085,ACC0000013,2024-06-14,2024-06,phone,payment_inquiry,0,0,0,1,19,27,18
SVC000000086,ACC0000013,2024-07-17,2024-07,branch,general_inquiry,0,0,0,0,4,28,11
SVC000000087,ACC0000013,2024-07-07,2024-07,phone,payment_inquiry,0,0,0,1,18,28,11
SVC000000088,ACC0000013,2024-09-17,2024-09,app,balance_inquiry,0,0,0,1,4,30,13
SVC000000089,ACC0000013,2024-09-17,2024-09,chat,dispute_filed,0,0,1,1,9,30,13
SVC000000090,ACC0000013,2024-09-19,2024-09,phone,dispute_filed,0,0,1,1,35,30,13
SVC000000091,ACC0000014,2024-07-03,2024-07,phone,payment_inquiry,0,0,0,1,2,2,9
SVC000000092,ACC0000014,2024-07-03,2024-07,chat,payment_inquiry,0,0,0,1,4,2,9
SVC000000093,ACC0000015,2023-01-16,2023-01,phone,rate_inquiry,0,0,0,1,27,16,11
SVC000000094,ACC0000015,2023-03-11,2023-03,phone,dispute_filed,0,0,1,0,33,18,5
SVC000000095,ACC0000015,2023-03-22,2023-03,phone,balance_inquiry,0,0,0,1,5,18,5
SVC000000096,ACC0000015,2023-03-01,2023-03,app,general_inquiry,0,0,0,1,7,18,5
SVC000000097,ACC0000015,2023-08-27,2023-08,app,balance_inquiry,0,0,0,0,8,23,13
SVC000000098,ACC0000015,2023-08-24,2023-08,app,payment_inquiry,0,0,0,0,6,23,13
SVC000000099,ACC0000015,2023-08-23,2023-08,app,balance_inquiry,0,0,0,0,1,23,13
SVC000000100,ACC0000015,2024-02-23,2024-02,chat,balance_inquiry,0,0,0,0,5,29,1
SVC000000101,ACC0000015,2024-02-07,2024-02,chat,dispute_filed,0,0,1,1,7,29,1
SVC000000102,ACC0000015,2024-02-25,2024-02,phone,rate_inquiry,0,0,0,1,13,29,1
SVC000000103,ACC0000016,2024-04-21,2024-04,chat,payment_inquiry,0,0,0,1,3,8,1
SVC000000104,ACC0000016,2024-04-16,2024-04,chat,credit_limit_request,0,0,0,1,5,8,1
SVC000000105,ACC0000016,2024-11-19,2024-11,app,balance_inquiry,0,0,0,1,7,15,6
SVC000000106,ACC0000017,2022-08-24,2022-08,ivr,balance_inquiry,0,0,0,1,1,18,5
SVC000000107,ACC0000017,2022-09-26,2022-09,phone,balance_inquiry,0,0,0,1,19,19,9
SVC000000108,ACC0000017,2022-09-01,2022-09,app,payment_inquiry,0,0,0,1,8,19,9
SVC000000109,ACC0000017,2024-02-01,2024-02,phone,payment_inquiry,0,0,0,1,40,36,19
SVC000000110,ACC0000017,2024-02-03,2024-02,phone,payment_inquiry,0,0,0,1,5,36,19
SVC000000111,ACC0000017,2024-10-28,2024-10,app,balance_inquiry,0,0,0,0,5,44,2
SVC000000112,ACC0000017,2024-11-13,2024-11,chat,general_inquiry,0,0,0,1,2,45,15
SVC000000113,ACC0000018,2023-02-12,2023-02,app,balance_inquiry,0,0,0,1,2,4,18
SVC000000114,ACC0000018,2023-02-22,2023-02,app,hardship_request,1,0,0,0,5,4,18
SVC000000115,ACC0000018,2023-08-06,2023-08,chat,payment_inquiry,0,0,0,1,4,10,14
SVC000000116,ACC0000018,2024-12-17,2024-12,phone,payment_inquiry,0,0,0,1,11,26,13
SVC000000117,ACC0000018,2024-12-19,2024-12,phone,dispute_filed,0,0,1,1,27,26,13
SVC000000118,ACC0000018,2024-12-05,2024-12,app,hardship_request,1,0,0,1,2,26,13
SVC000000119,ACC0000019,2023-05-01,2023-05,chat,payment_inquiry,0,0,0,0,6,3,9
SVC000000120,ACC0000019,2023-05-07,2023-05,app,payment_inquiry,0,0,0,1,6,3,9
SVC000000121,ACC0000019,2023-12-09,2023-12,phone,dispute_filed,0,0,1,0,19,10,17
SVC000000122,ACC0000019,2024-02-15,2024-02,chat,fraud_report,0,0,0,0,9,12,12
SVC000000123,ACC0000019,2024-02-10,2024-02,app,balance_inquiry,0,0,0,1,8,12,12
SVC000000124,ACC0000019,2024-06-28,2024-06,branch,general_inquiry,0,0,0,1,7,16,1
SVC000000125,ACC0000019,2024-06-01,2024-06,ivr,payment_inquiry,0,0,0,1,7,16,1
SVC000000126,ACC0000019,2024-06-28,2024-06,chat,fraud_report,0,0,0,1,1,16,1
SVC000000127,ACC0000019,2024-08-26,2024-08,phone,payment_inquiry,0,0,0,0,36,18,10
SVC000000128,ACC0000019,2024-08-19,2024-08,phone,balance_inquiry,0,0,0,1,19,18,10
SVC000000129,ACC0000019,2024-10-01,2024-10,phone,balance_inquiry,0,0,0,1,27,20,5
SVC000000130,ACC0000019,2024-10-07,2024-10,ivr,hardship_request,1,0,0,0,9,20,5
SVC000000131,ACC0000019,2024-10-03,2024-10,app,dispute_filed,0,0,1,0,4,20,5
SVC000000132,ACC0000020,2021-05-15,2021-05,phone,payment_inquiry,0,0,0,0,12,3,7
SVC000000133,ACC0000020,2021-05-17,2021-05,phone,payment_inquiry,0,0,0,1,10,3,7
SVC000000134,ACC0000020,2022-03-01,2022-03,app,rate_inquiry,0,0,0,1,3,13,8
SVC000000135,ACC0000020,2022-03-22,2022-03,ivr,payment_plan_setup,0,1,0,1,4,13,8
SVC000000136,ACC0000020,2022-05-01,2022-05,chat,hardship_request,1,0,0,1,1,15,10
SVC000000137,ACC0000020,2022-05-04,2022-05,app,fraud_report,0,0,0,1,3,15,10
SVC000000138,ACC0000020,2022-05-22,2022-05,app,general_inquiry,0,0,0,1,8,15,10
SVC000000139,ACC0000022,2024-07-16,2024-07,ivr,rate_inquiry,0,0,0,0,9,1,15
SVC000000140,ACC0000022,2024-07-13,2024-07,phone,payment_inquiry,0,0,0,1,5,1,15
SVC000000141,ACC0000022,2024-07-04,2024-07,app,rate_inquiry,0,0,0,1,9,1,15
SVC000000142,ACC0000024,2023-01-06,2023-01,app,balance_inquiry,0,0,0,1,9,10,15
SVC000000143,ACC0000025,2024-12-02,2024-12,phone,rate_inquiry,0,0,0,1,31,16,18
SVC000000144,ACC0000026,2022-06-19,2022-06,phone,payment_inquiry,0,0,0,1,33,11,12
SVC000000145,ACC0000026,2022-06-04,2022-06,branch,dispute_filed,0,0,1,0,2,11,12
SVC000000146,ACC0000027,2021-12-07,2021-12,chat,hardship_request,1,0,0,0,4,1,1
SVC000000147,ACC0000027,2021-12-24,2021-12,chat,payment_inquiry,0,0,0,1,3,1,1
SVC000000148,ACC0000027,2021-12-19,2021-12,chat,balance_inquiry,0,0,0,0,1,1,1
SVC000000149,ACC0000027,2022-01-05,2022-01,ivr,balance_inquiry,0,0,0,1,8,2,9
SVC000000150,ACC0000027,2022-01-19,2022-01,app,balance_inquiry,0,0,0,1,9,2,9
SVC000000151,ACC0000027,2022-02-02,2022-02,phone,credit_limit_request,0,0,0,1,11,3,13
SVC000000152,ACC0000027,2022-06-13,2022-06,phone,hardship_request,1,0,0,1,27,7,4
SVC000000153,ACC0000027,2022-06-13,2022-06,phone,balance_inquiry,0,0,0,0,33,7,4
SVC000000154,ACC0000027,2022-08-05,2022-08,phone,general_inquiry,0,0,0,1,7,9,15
SVC000000155,ACC0000027,2022-08-13,2022-08,chat,credit_limit_request,0,0,0,1,1,9,15
SVC000000156,ACC0000027,2022-12-23,2022-12,app,general_inquiry,0,0,0,1,8,13,12
SVC000000157,ACC0000027,2023-05-03,2023-05,ivr,dispute_filed,0,0,1,1,2,18,19
SVC000000158,ACC0000027,2023-05-10,2023-05,chat,balance_inquiry,0,0,0,0,3,18,19
SVC000000159,ACC0000027,2023-08-02,2023-08,phone,payment_plan_setup,0,1,0,0,16,21,6
SVC000000160,ACC0000027,2023-09-27,2023-09,app,balance_inquiry,0,0,0,1,9,22,9
SVC000000161,ACC0000027,2024-05-19,2024-05,chat,general_inquiry,0,0,0,1,8,30,9
SVC000000162,ACC0000027,2024-06-08,2024-06,chat,general_inquiry,0,0,0,1,6,31,3
SVC000000163,ACC0000028,2021-06-17,2021-06,phone,credit_limit_request,0,0,0,1,3,2,12
SVC000000164,ACC0000028,2021-06-12,2021-06,phone,payment_inquiry,0,0,0,0,6,2,12
SVC000000165,ACC0000028,2021-06-28,2021-06,chat,general_inquiry,0,0,0,1,2,2,12
SVC000000166,ACC0000028,2022-06-05,2022-06,phone,payment_inquiry,0,0,0,1,35,14,3
SVC000000167,ACC0000028,2022-06-09,2022-06,app,payment_inquiry,0,0,0,0,2,14,3
SVC000000168,ACC0000028,2022-12-15,2022-12,app,payment_inquiry,0,0,0,1,8,20,15
SVC000000169,ACC0000028,2022-12-05,2022-12,phone,payment_inquiry,0,0,0,1,19,20,15
SVC000000170,ACC0000028,2022-12-17,2022-12,phone,rate_inquiry,0,0,0,1,9,20,15
SVC000000171,ACC0000028,2023-07-15,2023-07,app,payment_inquiry,0,0,0,1,7,27,8
SVC000000172,ACC0000028,2023-07-18,2023-07,phone,payment_inquiry,0,0,0,1,29,27,8
SVC000000173,ACC0000028,2024-10-02,2024-10,app,balance_inquiry,0,0,0,1,8,42,3
SVC000000174,ACC0000029,2024-12-16,2024-12,app,payment_inquiry,0,0,0,1,2,25,3
SVC000000175,ACC0000029,2024-12-08,2024-12,phone,balance_inquiry,0,0,0,0,7,25,3
SVC000000176,ACC0000030,2024-01-19,2024-01,phone,hardship_request,1,0,0,1,13,1,10
SVC000000177,ACC0000030,2024-01-01,2024-01,app,dispute_filed,0,0,1,1,6,1,10
SVC000000178,ACC0000030,2024-02-06,2024-02,chat,rate_inquiry,0,0,0,1,9,2,18
SVC000000179,ACC0000030,2024-02-25,2024-02,app,balance_inquiry,0,0,0,1,7,2,18
SVC000000180,ACC0000031,2024-01-02,2024-01,chat,credit_limit_request,0,0,0,0,1,33,11
SVC000000181,ACC0000032,2022-02-24,2022-02,ivr,general_inquiry,0,0,0,1,7,4,4
SVC000000182,ACC0000032,2023-04-05,2023-04,app,payment_inquiry,0,0,0,0,8,18,5
SVC000000183,ACC0000032,2023-04-14,2023-04,phone,balance_inquiry,0,0,0,1,18,18,5
SVC000000184,ACC0000032,2023-07-28,2023-07,phone,hardship_request,1,0,0,1,4,21,4
SVC000000185,ACC0000032,2023-11-01,2023-11,chat,general_inquiry,0,0,0,1,8,25,6
SVC000000186,ACC0000032,2023-11-22,2023-11,phone,payment_inquiry,0,0,0,1,36,25,6
SVC000000187,ACC0000032,2023-11-12,2023-11,phone,payment_inquiry,0,0,0,1,3,25,6
SVC000000188,ACC0000032,2024-04-05,2024-04,app,payment_inquiry,0,0,0,1,9,30,18
SVC000000189,ACC0000033,2023-01-21,2023-01,app,balance_inquiry,0,0,0,1,5,4,10
SVC000000190,ACC0000033,2024-05-17,2024-05,chat,rate_inquiry,0,0,0,1,7,20,5
SVC000000191,ACC0000033,2024-05-19,2024-05,app,payment_inquiry,0,0,0,0,1,20,5
SVC000000192,ACC0000033,2024-05-03,2024-05,phone,credit_limit_request,0,0,0,1,8,20,5
SVC000000193,ACC0000035,2023-07-06,2023-07,chat,payment_inquiry,0,0,0,1,6,2,12
SVC000000194,ACC0000035,2023-11-22,2023-11,app,payment_plan_setup,0,1,0,1,2,6,19
SVC000000195,ACC0000035,2024-03-20,2024-03,phone,hardship_request,1,0,0,0,25,10,12
SVC000000196,ACC0000035,2024-09-04,2024-09,branch,fraud_report,0,0,0,1,6,16,18
SVC000000197,ACC0000035,2024-09-15,2024-09,phone,payment_inquiry,0,0,0,1,18,16,18
SVC000000198,ACC0000035,2024-11-25,2024-11,phone,rate_inquiry,0,0,0,1,21,18,19
SVC000000199,ACC0000035,2024-11-06,2024-11,app,hardship_request,1,0,0,1,4,18,19
SVC000000200,ACC0000035,2024-11-22,2024-11,phone,hardship_request,1,0,0,0,3,18,19
SVC000000201,ACC0000035,2024-12-01,2024-12,branch,general_inquiry,0,0,0,1,5,19,0
SVC000000202,ACC0000035,2024-12-24,2024-12,phone,balance_inquiry,0,0,0,1,33,19,0
SVC000000203,ACC0000035,2024-12-20,2024-12,phone,dispute_filed,0,0,1,1,30,19,0
SVC000000204,ACC0000036,2022-03-13,2022-03,phone,balance_inquiry,0,0,0,1,33,6,16
SVC000000205,ACC0000036,2022-03-06,2022-03,phone,credit_limit_request,0,0,0,1,38,6,16
SVC000000206,ACC0000036,2022-03-19,2022-03,ivr,payment_inquiry,0,0,0,1,4,6,16
SVC000000207,ACC0000036,2024-05-25,2024-05,phone,payment_inquiry,0,0,0,1,28,32,4
SVC000000208,ACC0000036,2024-06-14,2024-06,phone,balance_inquiry,0,0,0,1,4,33,13
SVC000000209,ACC0000036,2024-12-28,2024-12,phone,balance_inquiry,0,0,0,1,21,39,1
SVC000000210,ACC0000036,2024-12-19,2024-12,chat,payment_inquiry,0,0,0,1,1,39,1
SVC000000211,ACC0000037,2023-05-19,2023-05,app,rate_inquiry,0,0,0,1,5,2,10
SVC000000212,ACC0000037,2023-05-14,2023-05,app,balance_inquiry,0,0,0,1,5,2,10
SVC000000213,ACC0000037,2023-05-22,2023-05,chat,rate_inquiry,0,0,0,0,4,2,10
SVC000000214,ACC0000037,2023-11-09,2023-11,chat,balance_inquiry,0,0,0,0,5,8,7
SVC000000215,ACC0000038,2022-12-21,2022-12,chat,rate_inquiry,0,0,0,1,4,3,13
SVC000000216,ACC0000038,2023-12-27,2023-12,phone,hardship_request,1,0,0,1,28,15,6
SVC000000217,ACC0000038,2023-12-24,2023-12,app,credit_limit_request,0,0,0,1,6,15,6
SVC000000218,ACC0000038,2024-01-06,2024-01,phone,rate_inquiry,0,0,0,1,6,16,14
SVC000000219,ACC0000038,2024-01-23,2024-01,branch,hardship_request,1,0,0,1,1,16,14
SVC000000220,ACC0000038,2024-02-04,2024-02,phone,hardship_request,1,0,0,1,11,17,1
SVC000000221,ACC0000038,2024-02-28,2024-02,ivr,payment_inquiry,0,0,0,1,7,17,1
SVC000000222,ACC0000038,2024-02-20,2024-02,ivr,fraud_report,0,0,0,0,9,17,1
SVC000000223,ACC0000038,2024-03-13,2024-03,chat,credit_limit_request,0,0,0,1,7,18,18
SVC000000224,ACC0000038,2024-03-16,2024-03,chat,payment_plan_setup,0,1,0,1,5,18,18
SVC000000225,ACC0000038,2024-04-28,2024-04,app,credit_limit_request,0,0,0,1,2,19,0
SVC000000226,ACC0000038,2024-04-07,2024-04,branch,hardship_request,1,0,0,1,1,19,0
SVC000000227,ACC0000038,2024-04-25,2024-04,phone,hardship_request,1,0,0,1,38,19,0
SVC000000228,ACC0000038,2024-06-24,2024-06,phone,fraud_report,0,0,0,1,34,21,0
SVC000000229,ACC0000038,2024-06-16,2024-06,phone,hardship_request,1,0,0,1,37,21,0
SVC000000230,ACC0000039,2022-08-19,2022-08,chat,balance_inquiry,0,0,0,1,2,1,19
SVC000000231,ACC0000039,2022-08-07,2022-08,phone,balance_inquiry,0,0,0,1,24,1,19
SVC000000232,ACC0000039,2022-09-26,2022-09,phone,dispute_filed,0,0,1,0,10,2,16
SVC000000233,ACC0000039,2022-09-13,2022-09,phone,credit_limit_request,0,0,0,1,5,2,16
SVC000000234,ACC0000039,2022-09-13,2022-09,ivr,dispute_filed,0,0,1,1,7,2,16
SVC000000235,ACC0000039,2022-10-18,2022-10,phone,payment_inquiry,0,0,0,1,12,3,12
SVC000000236,ACC0000039,2023-01-25,2023-01,phone,general_inquiry,0,0,0,1,21,6,8
SVC000000237,ACC0000039,2023-01-12,2023-01,ivr,credit_limit_request,0,0,0,1,1,6,8
SVC000000238,ACC0000039,2023-02-27,2023-02,app,payment_inquiry,0,0,0,1,1,7,2
SVC000000239,ACC0000039,2023-05-27,2023-05,chat,hardship_request,1,0,0,0,5,10,4
SVC000000240,ACC0000039,2023-05-17,2023-05,chat,credit_limit_request,0,0,0,1,2,10,4
SVC000000241,ACC0000039,2023-12-15,2023-12,phone,general_inquiry,0,0,0,1,39,17,18
SVC000000242,ACC0000039,2024-01-06,2024-01,phone,dispute_filed,0,0,1,1,42,18,16
SVC000000243,ACC0000039,2024-01-24,2024-01,chat,dispute_filed,0,0,1,1,5,18,16
SVC000000244,ACC0000039,2024-02-26,2024-02,ivr,hardship_request,1,0,0,0,8,19,0
SVC000000245,ACC0000039,2024-08-28,2024-08,chat,payment_inquiry,0,0,0,1,1,25,0
SVC000000246,ACC0000039,2024-08-20,2024-08,phone,hardship_request,1,0,0,0,19,25,0
SVC000000247,ACC0000039,2024-10-18,2024-10,ivr,credit_limit_request,0,0,0,1,1,27,0
SVC000000248,ACC0000039,2024-10-26,2024-10,chat,credit_limit_request,0,0,0,1,8,27,0
SVC000000249,ACC0000039,2024-10-24,2024-10,app,hardship_request,1,0,0,1,8,27,0
SVC000000250,ACC0000039,2024-11-26,2024-11,app,payment_inquiry,0,0,0,1,2,28,0
SVC000000251,ACC0000039,2024-11-10,2024-11,chat,general_inquiry,0,0,0,1,1,28,0
SVC000000252,ACC0000039,2024-11-08,2024-11,chat,hardship_request,1,0,0,0,9,28,0
SVC000000253,ACC0000039,2024-12-12,2024-12,phone,rate_inquiry,0,0,0,1,16,29,0
SVC000000254,ACC0000039,2024-12-01,2024-12,app,payment_plan_setup,0,1,0,1,5,29,0
SVC000000255,ACC0000039,2024-12-13,2024-12,app,general_inquiry,0,0,0,0,1,29,0
SVC000000256,ACC0000040,2023-09-04,2023-09,phone,balance_inquiry,0,0,0,1,32,2,0
SVC000000257,ACC0000040,2024-08-15,2024-08,ivr,balance_inquiry,0,0,0,1,2,13,13
SVC000000258,ACC0000040,2024-09-03,2024-09,chat,credit_limit_request,0,0,0,1,6,14,7
SVC000000259,ACC0000041,2022-11-16,2022-11,app,fraud_report,0,0,0,1,4,1,16
SVC000000260,ACC0000041,2023-05-02,2023-05,phone,hardship_request,1,0,0,1,38,7,16
SVC000000261,ACC0000041,2023-06-16,2023-06,app,general_inquiry,0,0,0,1,7,8,14
SVC000000262,ACC0000041,2023-06-03,2023-06,chat,rate_inquiry,0,0,0,1,8,8,14
SVC000000263,ACC0000041,2023-06-13,2023-06,chat,dispute_filed,0,0,1,1,5,8,14
SVC000000264,ACC0000041,2024-09-04,2024-09,app,rate_inquiry,0,0,0,1,7,23,2
SVC000000265,ACC0000041,2024-09-11,2024-09,chat,payment_inquiry,0,0,0,1,2,23,2
SVC000000266,ACC0000042,2024-09-06,2024-09,phone,credit_limit_request,0,0,0,1,5,6,0
SVC000000267,ACC0000042,2024-09-08,2024-09,chat,fraud_report,0,0,0,1,6,6,0
SVC000000268,ACC0000043,2024-04-08,2024-04,phone,rate_inquiry,0,0,0,1,14,15,4
SVC000000269,ACC0000043,2024-11-06,2024-11,phone,general_inquiry,0,0,0,1,27,22,14
SVC000000270,ACC0000043,2024-11-20,2024-11,phone,payment_inquiry,0,0,0,0,6,22,14
SVC000000271,ACC0000043,2024-11-24,2024-11,app,balance_inquiry,0,0,0,1,7,22,14
SVC000000272,ACC0000044,2023-08-07,2023-08,phone,general_inquiry,0,0,0,1,11,1,0
SVC000000273,ACC0000044,2023-11-26,2023-11,app,hardship_request,1,0,0,1,3,4,15
SVC000000274,ACC0000044,2023-12-26,2023-12,phone,general_inquiry,0,0,0,1,39,5,16
