application_id,account_id,application_date,app_channel,bureau_score_at_app,credit_line_requested,credit_line_approved,decision,decline_reason_code,bureau_utilization_at_app,bureau_inquiries_at_app,bureau_derogatory_count,bureau_oldest_tradeline_yrs
APP00000116,ACC0000116,2022-09-14,online,699,4123,3700.0,approved,,0.115,6,0,8.4
APP00000117,ACC0000117,2024-06-01,in_store,773,7261,5100.0,approved,,0.1327,5,0,9.4
APP00000118,ACC0000118,2021-03-12,pre_approved,540,437,500.0,approved,,0.395,4,0,2.3
APP00000119,ACC0000119,2022-01-30,online,677,1651,1700.0,approved,,0.2388,1,1,7.6
APP00000120,ACC0000120,2021-06-14,pre_approved,617,1236,1400.0,approved,,0.0041,2,1,3.4
APP00000121,ACC0000121,2021-02-25,partner_refer,741,6823,4700.0,approved,,0.0029,6,0,12.8
APP00000122,ACC0000122,2023-01-10,direct_mail,735,7463,5000.0,approved,,0.0625,5,0,19.5
APP00000123,ACC0000123,2021-08-01,partner_refer,739,6131,4700.0,approved,,0.3044,2,0,19.3
APP00000124,ACC0000124,2021-05-17,direct_mail,761,9524,7700.0,approved,,0.5062,0,0,12.6
APP00000125,ACC0000125,2021-03-16,online,662,2261,2500.0,approved,,0.6356,2,0,16.8
APP00000126,ACC0000126,2023-08-31,online,750,4785,4800.0,approved,,0.0943,0,0,5.6
APP00000127,ACC0000127,2022-05-31,pre_approved,741,4067,3400.0,approved,,0.0167,3,0,8.6
APP00000128,ACC0000128,2023-05-22,direct_mail,849,10942,7500.0,approved,,0.3585,2,0,12.2
APP00000129,ACC0000129,2023-01-12,online,559,1122,1400.0,approved,,0.6248,2,2,15.8
APP00000130,ACC0000130,2023-06-09,pre_approved,704,3196,3800.0,approved,,0.5378,2,0,12.9
APP00000131,ACC0000131,2023-08-05,partner_refer,716,5933,5000.0,approved,,0.4297,7,0,5.6
APP00000132,ACC0000132,2021-07-03,in_store,712,10410,7400.0,approved,,0.0107,1,0,10.3
APP00000133,ACC0000133,2023-12-13,direct_mail,729,6879,4600.0,approved,,0.5081,7,0,9.3
APP00000134,ACC0000134,2022-07-15,online,588,618,500.0,approved,,0.2779,5,2,10.2
APP00000135,ACC0000135,2024-06-15,pre_approved,728,4303,4100.0,approved,,0.4737,2,0,3.5
APP00000136,ACC0000136,2021-11-06,online,622,1463,1400.0,approved,,0.5606,2,2,14.1
APP00000137,ACC0000137,2023-01-20,online,727,6438,6000.0,approved,,0.3201,2,0,11.2
APP00000138,ACC0000138,2023-12-15,partner_refer,818,6918,7500.0,approved,,0.0376,6,0,15.9
APP00000139,ACC0000139,2022-12-23,in_store,651,2660,2900.0,approved,,0.248,7,0,8.8
APP00000140,ACC0000140,2024-04-29,direct_mail,641,3568,2700.0,approved,,0.4666,1,1,17.3
APP00000141,ACC0000141,2022-01-04,in_store,738,4532,5100.0,approved,,0.2217,2,0,8.9
APP00000142,ACC0000142,2022-11-08,pre_approved,667,1859,2200.0,approved,,0.0634,6,2,3.0
APP00000143,ACC0000143,2021-03-18,online,685,7791,6600.0,approved,,0.5432,0,0,19.0
APP00000144,ACC0000144,2023-09-29,online,719,3159,3400.0,approved,,0.3497,7,0,11.3
APP00000145,ACC0000145,2023-08-26,direct_mail,646,5088,3500.0,approved,,0.2504,5,2,4.8
APP00000146,ACC0000146,2023-04-04,pre_approved,671,2029,1700.0,approved,,0.4031,7,2,3.4
APP00000147,ACC0000147,2024-09-25,in_store,569,416,400.0,approved,,0.4251,5,1,10.8
APP00000148,ACC0000148,2021-07-17,in_store,741,8563,5900.0,approved,,0.0756,6,0,3.1
APP00000149,ACC0000149,2021-01-15,online,736,5787,4200.0,approved,,0.1354,0,0,14.3
APP00000150,ACC0000150,2023-09-02,pre_approved,648,1987,1500.0,approved,,0.0046,2,2,8.7
APP00000151,ACC0000151,2023-02-01,partner_refer,693,10765,7300.0,approved,,0.017,1,0,3.9
APP00000152,ACC0000152,2022-11-20,direct_mail,819,8423,6400.0,approved,,0.3318,3,0,15.8
APP00000153,ACC0000153,2023-11-01,online,715,8448,6700.0,approved,,0.2582,1,0,18.3
APP00000154,ACC0000154,2022-02-24,in_store,843,7208,6500.0,approved,,0.5296,3,0,17.9
APP00000155,ACC0000155,2021-09-21,online,657,1604,1700.0,approved,,0.0223,3,0,16.7
APP00000156,ACC0000156,2022-11-07,direct_mail,703,6098,6100.0,approved,,0.0996,0,0,13.0
APP00000157,ACC0000157,2023-05-24,direct_mail,634,4056,3600.0,approved,,0.1198,4,0,5.3
APP00000158,ACC0000158,2023-04-21,online,667,4603,3300.0,approved,,0.6451,0,0,9.9
APP00000159,ACC0000159,2022-04-09,in_store,623,4140,3600.0,approved,,0.0839,0,0,7.7
APP00000160,ACC0000160,2023-08-03,online,582,1349,1200.0,approved,,0.1525,7,2,18.6
APP00000161,ACC0000161,2023-03-16,in_store,671,2312,1900.0,approved,,0.1066,5,0,6.1
APP00000162,ACC0000162,2024-03-07,in_store,654,2133,2500.0,approved,,0.1202,6,0,15.3
APP00000163,ACC0000163,2023-05-12,direct_mail,759,6590,7100.0,approved,,0.1834,1,0,7.7
APP00000164,ACC0000164,2021-09-20,direct_mail,657,2677,1900.0,approved,,0.2437,7,2,16.9
APP00000165,ACC0000165,2022-02-26,online,614,1103,800.0,approved,,0.0065,4,0,1.0
APP00000166,ACC0000166,2023-08-22,partner_refer,562,544,500.0,approved,,0.3469,3,2,9.0
APP00000167,ACC0000167,2024-04-19,in_store,833,15952,11200.0,approved,,0.2546,2,0,11.2
APP00000168,ACC0000168,2023-09-15,partner_refer,718,5333,5100.0,approved,,0.5874,0,0,10.4
APP00000169,ACC0000169,2021-04-12,direct_mail,716,9384,6800.0,approved,,0.2534,5,0,4.6
APP00000170,ACC0000170,2023-01-28,online,626,3561,2900.0,approved,,0.6087,4,1,10.8
APP00000171,ACC0000171,2021-07-30,pre_approved,548,1887,1500.0,approved,,0.3604,7,2,5.1
APP00000172,ACC0000172,2022-04-20,direct_mail,786,14203,11400.0,approved,,0.3786,0,0,11.4
APP00000173,ACC0000173,2022-11-02,pre_approved,830,19188,14600.0,approved,,0.1168,2,0,9.7
APP00000174,ACC0000174,2021-11-28,online,789,18603,14800.0,approved,,0.3584,5,0,15.2
APP00000175,ACC0000175,2023-01-31,in_store,572,761,600.0,approved,,0.1344,5,2,5.5
APP00000176,ACC0000176,2021-11-23,online,646,3566,3500.0,approved,,0.0745,0,1,19.8
APP00000177,ACC0000177,2024-06-30,online,642,1877,1300.0,approved,,0.1022,1,2,19.3
APP00000178,ACC0000178,2024-03-31,in_store,734,3540,2500.0,approved,,0.1487,2,0,3.6
APP00000179,ACC0000179,2024-05-28,partner_refer,794,5965,5500.0,approved,,0.495,4,0,5.7
APP00000180,ACC0000180,2021-01-07,direct_mail,634,2588,2300.0,approved,,0.4576,0,0,14.2
APP00000181,ACC0000181,2023-11-07,online,808,7569,5300.0,approved,,0.0304,0,0,7.9
APP00000182,ACC0000182,2021-11-22,online,712,3941,3800.0,approved,,0.1074,6,0,4.8
APP00000183,ACC0000183,2024-05-21,pre_approved,666,3972,3600.0,approved,,0.3319,1,2,9.1
APP00000184,ACC0000184,2022-01-12,direct_mail,637,1606,1300.0,approved,,0.5081,5,2,18.0
APP00000185,ACC0000185,2023-07-14,online,660,1902,1300.0,approved,,0.144,2,0,11.1
APP00000186,ACC0000186,2024-09-30,online,640,3107,2600.0,approved,,0.635,4,0,6.9
APP00000187,ACC0000187,2021-06-13,pre_approved,722,4793,3200.0,approved,,0.0024,2,0,5.6
APP00000188,ACC0000188,2023-03-27,partner_refer,812,17622,12300.0,approved,,0.6325,5,0,19.4
APP00000189,ACC0000189,2022-04-17,pre_approved,697,7498,5000.0,approved,,0.3691,5,0,15.6
APP00000190,ACC0000190,2023-01-31,direct_mail,568,467,500.0,approved,,0.3405,2,1,1.2
APP00000191,ACC0000191,2022-04-16,online,681,6621,6900.0,approved,,0.1669,6,0,10.8
APP00000192,ACC0000192,2022-11-21,online,756,7932,6300.0,approved,,0.4277,3,0,18.0
APP00000193,ACC0000193,2021-11-19,in_store,723,5430,4400.0,approved,,0.6281,0,0,4.9
APP00000194,ACC0000194,2024-09-10,online,638,2355,2600.0,approved,,0.6132,7,2,7.0
APP00000195,ACC0000195,2022-02-15,online,739,3320,2600.0,approved,,0.3728,1,0,1.3
APP00000196,ACC0000196,2022-04-21,in_store,630,1511,1500.0,approved,,0.5057,3,0,7.1
APP00000197,ACC0000197,2023-12-22,online,672,1491,1800.0,approved,,0.2161,3,2,4.7
APP00000198,ACC0000198,2024-07-25,in_store,748,7294,4900.0,approved,,0.0145,0,0,13.5
APP00000199,ACC0000199,2024-05-21,in_store,619,1076,1100.0,approved,,0.3836,6,0,2.3
APP00000200,ACC0000200,2022-03-14,in_store,693,5205,5300.0,approved,,0.3315,7,0,9.6
APP00000201,ACC0000201,2022-12-04,in_store,626,3763,3300.0,approved,,0.2966,2,0,8.2
APP00000202,ACC0000202,2021-05-22,direct_mail,756,8003,6200.0,approved,,0.0735,7,0,1.8
APP00000203,ACC0000203,2021-12-28,online,849,8328,9600.0,approved,,0.0753,6,0,2.2
APP00000204,ACC0000204,2021-06-02,online,650,5016,3600.0,approved,,0.0384,6,0,16.7
APP00000205,ACC0000205,2021-10-11,online,735,6140,4700.0,approved,,0.509,1,0,15.0
APP00000206,ACC0000206,2021-07-27,online,698,6038,4600.0,approved,,0.5781,4,0,15.0
APP00000207,ACC0000207,2021-01-02,in_store,620,1423,1500.0,approved,,0.5227,1,1,2.6
APP00000208,ACC0000208,2022-07-16,direct_mail,682,3857,4200.0,approved,,0.2724,3,0,1.5
APP00000209,ACC0000209,2021-12-23,in_store,645,2769,2600.0,approved,,0.1951,0,1,5.6
APP00000210,ACC0000210,2024-03-28,in_store,674,3052,2400.0,approved,,0.2622,7,0,13.1
APP00000211,ACC0000211,2024-06-28,in_store,594,495,600.0,approved,,0.0178,2,2,13.9
APP00000212,ACC0000212,2021-09-20,online,749,8754,6100.0,approved,,0.6083,4,0,4.9
APP00000213,ACC0000213,2021-05-04,online,621,5339,3800.0,approved,,0.4827,1,2,5.9
APP00000214,ACC0000214,2023-08-26,pre_approved,552,326,400.0,approved,,0.293,5,0,13.5
APP00000215,ACC0000215,2023-03-20,direct_mail,589,835,600.0,approved,,0.2805,4,0,10.4
APP00000216,ACC0000216,2023-04-29,online,837,14507,10300.0,approved,,0.6465,5,0,15.7
APP00000217,ACC0000217,2022-02-03,partner_refer,759,5749,6800.0,approved,,0.0689,6,0,18.4
APP00000218,ACC0000218,2023-04-07,online,700,8956,7300.0,approved,,0.0898,3,0,5.0
APP00000219,ACC0000219,2021-07-23,direct_mail,826,14755,13100.0,approved,,0.1464,3,0,7.9
APP00000220,ACC0000220,2021-10-24,online,639,2170,1900.0,approved,,0.4398,3,0,4.3
APP00000221,ACC0000221,2024-03-26,in_store,669,1126,1200.0,approved,,0.3944,3,0,16.3
APP00000222,ACC0000222,2023-06-23,online,736,3270,3300.0,approved,,0.1529,1,0,5.5
APP00000223,ACC0000223,2022-03-11,online,663,3773,3500.0,approved,,0.1945,5,0,5.6
APP00000224,ACC0000224,2023-11-30,direct_mail,698,3316,3100.0,approved,,0.3488,7,0,16.0
APP00000225,ACC0000225,2022-11-26,direct_mail,691,7255,6500.0,approved,,0.6438,1,0,7.5
APP00000226,ACC0000226,2024-09-22,direct_mail,681,6032,5300.0,approved,,0.6327,4,0,4.4
APP00000227,ACC0000227,2021-05-05,in_store,585,1547,1400.0,approved,,0.63,3,2,7.6
APP00000228,ACC0000228,2022-01-10,pre_approved,750,3906,3400.0,approved,,0.4423,4,0,7.3
APP00000229,ACC0000229,2023-06-29,in_store,814,8640,8400.0,approved,,0.1959,6,0,3.2
APP00000230,ACC0000230,2021-11-13,in_store,814,7120,6600.0,approved,,0.5061,1,0,16.9
APP00000231,ACC0000231,2021-09-11,online,657,4098,2800.0,approved,,0.2627,0,0,3.4
APP00000232,ACC0000232,2023-09-22,online,724,4385,5200.0,approved,,0.5752,2,0,8.9
APP00000233,ACC0000233,2021-07-25,in_store,737,8689,7400.0,approved,,0.4106,1,0,4.9
APP00000234,ACC0000234,2022-05-07,pre_approved,622,4614,3400.0,approved,,0.3699,2,1,12.1
APP00000235,ACC0000235,2024-05-03,direct_mail,581,1379,1200.0,approved,,0.3133,1,0,11.7
APP00000236,ACC0000236,2022-05-08,online,717,4077,3200.0,approved,,0.1727,0,0,2.5
APP00000237,ACC0000237,2024-03-22,direct_mail,677,3431,3800.0,approved,,0.1356,0,2,5.7
APP00000238,ACC0000238,2024-04-20,online,640,2006,2400.0,approved,,0.4231,6,2,3.4
APP00000239,ACC0000239,2022-12-10,online,738,5141,4600.0,approved,,0.29,2,0,13.3
APP00000240,ACC0000240,2024-07-25,in_store,722,9373,6400.0,approved,,0.4914,4,0,7.6
APP00000241,ACC0000241,2024-03-31,in_store,585,994,1100.0,approved,,0.106,6,0,8.5
APP00000242,ACC0000242,2023-10-16,in_store,696,4249,4700.0,approved,,0.5672,1,0,10.9
APP00000243,ACC0000243,2023-09-13,pre_approved,678,4571,3400.0,approved,,0.6448,2,2,16.6
APP00000244,ACC0000244,2022-04-22,online,590,771,700.0,approved,,0.2609,1,0,6.0
APP00000245,ACC0000245,2023-04-05,direct_mail,815,4420,5100.0,approved,,0.277,4,0,14.4
APP00000246,ACC0000246,2022-04-09,online,624,1914,1600.0,approved,,0.539,4,0,5.4
APP00000247,ACC0000247,2021-08-12,pre_approved,642,1787,2000.0,approved,,0.0828,1,1,15.9
APP00000248,ACC0000248,2023-09-24,online,621,4126,3900.0,approved,,0.1766,2,2,8.0
APP00000249,ACC0000249,2022-04-17,in_store,726,6490,6900.0,approved,,0.4879,2,0,17.2
APP00000250,ACC0000250,2022-12-17,in_store,636,2618,2400.0,approved,,0.2211,4,1,11.9
APP00000251,ACC0000251,2021-01-12,online,690,3739,2700.0,approved,,0.3964,0,0,11.3
APP00000252,ACC0000252,2022-11-10,online,718,5136,5900.0,approved,,0.1454,7,0,15.0
APP00000253,ACC0000253,2022-03-05,in_store,690,4896,4000.0,approved,,0.0689,2,0,12.3
APP00000254,ACC0000254,2024-09-10,partner_refer,741,2826,3000.0,approved,,0.5106,3,0,18.3
APP00000255,ACC0000255,2022-07-16,in_store,813,6386,5700.0,approved,,0.372,0,0,15.2
APP00000256,ACC0000256,2021-05-13,online,772,13308,9300.0,approved,,0.5866,1,0,3.1
APP00000257,ACC0000257,2022-12-15,in_store,644,2564,2600.0,approved,,0.6355,2,1,2.8
APP00000258,ACC0000258,2024-03-13,online,693,4466,3000.0,approved,,0.5224,1,0,6.6
APP00000259,ACC0000259,2024-03-07,direct_mail,739,3633,4000.0,approved,,0.2116,2,0,16.0
APP00000260,ACC0000260,2023-11-25,pre_approved,569,434,300.0,approved,,0.0395,2,0,3.3
APP00000261,ACC0000261,2021-11-16,online,644,1955,1400.0,approved,,0.3442,7,0,14.6
APP00000262,ACC0000262,2023-04-27,direct_mail,694,5680,6700.0,approved,,0.0146,7,0,16.1
APP00000263,ACC0000263,2021-12-03,pre_approved,554,658,500.0,approved,,0.2447,2,2,9.0
APP00000264,ACC0000264,2023-10-21,direct_mail,654,5075,3600.0,approved,,0.0932,2,1,7.3
APP00000265,ACC0000265,2021-12-02,in_store,640,2552,2000.0,approved,,0.0407,2,2,11.3
APP00000266,ACC0000266,2021-01-05,direct_mail,685,10278,6900.0,approved,,0.5389,6,0,17.3
APP00000267,ACC0000267,2022-12-27,in_store,742,5086,4800.0,approved,,0.1824,3,0,6.2
APP00000268,ACC0000268,2022-05-08,in_store,792,7344,6300.0,approved,,0.4286,1,0,19.4
APP00000269,ACC0000269,2024-07-29,online,550,1638,1300.0,approved,,0.307,5,0,10.8
APP00000270,ACC0000270,2021-08-14,online,677,1999,1600.0,approved,,0.0274,6,1,3.4
APP00000271,ACC0000271,2021-01-03,in_store,692,8000,7100.0,approved,,0.5173,5,0,7.2
